h_idnumber,sum_head,sum_spouse,hsex,spsex,hyrbirth,heduc,spyrbirth,speduc,P1_2a,J4_1a,J5_3a,R2_1,Q2_5a,Q2_5b,Q4_1a,Q4_2a,Q4_3a,Q4_1b,Q4_2b,Q4_3b,S_1a,S_1b,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,class_mig
7_617_2920,6,5,Male,Female,1990,HSC (complete HSE),1993,HSC (complete HSE),0,No,0,No,No,No,Never,Some months but not every month,Some months but not every month,Never,Yes,Some months but not every month,Some what,Not at all,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2921,4,NA,Female,NA,1995,Class VI-IX (Incomplete SE),NA,NA,0,Yes,0,No,No,NA,Almost every month,Some months but not every month,Never,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2925,4,NA,Male,NA,1995,SSC (Complete SE),NA,NA,0,No,0,No,No,NA,Never,Some months but not every month,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2928,17,NA,Male,Female,1954,University level,1969,HSC (complete HSE),0,No,0,No,Yes,No,Never,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2928,17,NA,Male,Female,1954,University level,1969,HSC (complete HSE),0,No,0,No,Yes,No,Never,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2929,4,6,Male,Female,1965,University level,1975,HSC (complete HSE),0,No,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
7_617_2929,4,6,Male,Female,1965,University level,1975,HSC (complete HSE),0,No,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
7_617_2929,4,6,Male,Female,1965,University level,1975,HSC (complete HSE),0,No,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
7_617_2929,4,6,Male,Female,1965,University level,1975,HSC (complete HSE),0,No,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
7_617_2929,4,6,Male,Female,1965,University level,1975,HSC (complete HSE),0,No,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
7_617_2929,4,6,Male,Female,1965,University level,1975,HSC (complete HSE),0,No,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
7_617_2930,4,NA,Male,NA,1989,University level,NA,NA,0,Yes,0,No,No,NA,Never,Some months but not every month,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2932,15,2,Male,Female,1981,Class I-IV (Incomplete PE),1983,SSC (Complete SE),0,No,0,Yes,Yes,Yes,Only one or two months,Some months but not every month,Some months but not every month,Only one or two months,No,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,No change,Increased,migrant
7_617_2932,15,2,Male,Female,1981,Class I-IV (Incomplete PE),1983,SSC (Complete SE),0,No,0,Yes,Yes,Yes,Only one or two months,Some months but not every month,Some months but not every month,Only one or two months,No,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,No change,Increased,migrant
7_617_2932,15,2,Male,Female,1981,Class I-IV (Incomplete PE),1983,SSC (Complete SE),0,No,0,Yes,Yes,Yes,Only one or two months,Some months but not every month,Some months but not every month,Only one or two months,No,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,No change,Increased,migrant
7_617_2934,6,NA,Female,NA,1972,Class I-IV (Incomplete PE),NA,NA,0,No,0,No,Yes,NA,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,No change,Increased,migrant
7_617_2934,6,NA,Female,NA,1972,Class I-IV (Incomplete PE),NA,NA,0,No,0,No,Yes,NA,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,No change,Increased,migrant
7_617_2936,4,5,Male,Female,1985,SSC (Complete SE),1989,Class VI-IX (Incomplete SE),0,No,1,No,No,No,Some months but not every month,Only one or two months,Some months but not every month,Almost every month,No,Never,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2936,4,5,Male,Female,1985,SSC (Complete SE),1989,Class VI-IX (Incomplete SE),0,No,1,No,No,No,Some months but not every month,Only one or two months,Some months but not every month,Almost every month,No,Never,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2936,4,5,Male,Female,1985,SSC (Complete SE),1989,Class VI-IX (Incomplete SE),0,No,1,No,No,No,Some months but not every month,Only one or two months,Some months but not every month,Almost every month,No,Never,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2937,1,1,Male,Female,1987,SSC (Complete SE),1990,SSC (Complete SE),0,No,2,Yes,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2937,1,1,Male,Female,1987,SSC (Complete SE),1990,SSC (Complete SE),0,No,2,Yes,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2938,12,8,Male,Female,1983,SSC (Complete SE),1984,Class VI-IX (Incomplete SE),0,No,0,No,No,No,Some months but not every month,Some months but not every month,Only one or two months,Some months but not every month,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2938,12,8,Male,Female,1983,SSC (Complete SE),1984,Class VI-IX (Incomplete SE),0,No,0,No,No,No,Some months but not every month,Some months but not every month,Only one or two months,Some months but not every month,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2938,12,8,Male,Female,1983,SSC (Complete SE),1984,Class VI-IX (Incomplete SE),0,No,0,No,No,No,Some months but not every month,Some months but not every month,Only one or two months,Some months but not every month,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2939,0,0,Male,Female,1986,Class I-IV (Incomplete PE),1990,Class VI-IX (Incomplete SE),0,Yes,1,No,No,Yes,Only one or two months,Only one or two months,Only one or two months,Only one or two months,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2939,0,0,Male,Female,1986,Class I-IV (Incomplete PE),1990,Class VI-IX (Incomplete SE),0,Yes,1,No,No,Yes,Only one or two months,Only one or two months,Only one or two months,Only one or two months,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2940,14,6,Male,Female,1957,No Schooling,1958,No Schooling,0,No,0,Yes,No,Yes,Never,Only one or two months,Some months but not every month,Never,Yes,Only one or two months,Very much,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
7_617_2940,14,6,Male,Female,1957,No Schooling,1958,No Schooling,0,No,0,Yes,No,Yes,Never,Only one or two months,Some months but not every month,Never,Yes,Only one or two months,Very much,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
7_617_2940,14,6,Male,Female,1957,No Schooling,1958,No Schooling,0,No,0,Yes,No,Yes,Never,Only one or two months,Some months but not every month,Never,Yes,Only one or two months,Very much,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
7_617_2942,3,5,Male,Female,1983,Class V (Complete PE),1987,Class V (Complete PE),0,No,0,No,No,No,Never,Some months but not every month,Only one or two months,Never,Yes,Some months but not every month,Very much,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2942,3,5,Male,Female,1983,Class V (Complete PE),1987,Class V (Complete PE),0,No,0,No,No,No,Never,Some months but not every month,Only one or two months,Never,Yes,Some months but not every month,Very much,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2945,2,NA,Male,NA,1993,Class V (Complete PE),NA,NA,0,Yes,0,No,No,NA,Never,Some months but not every month,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2947,0,4,Female,Male,1989,Class V (Complete PE),1984,Class I-IV (Incomplete PE),0,No,0,No,No,No,Never,Only one or two months,Only one or two months,Never,No,Some months but not every month,Very much,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2947,0,4,Female,Male,1989,Class V (Complete PE),1984,Class I-IV (Incomplete PE),0,No,0,No,No,No,Never,Only one or two months,Only one or two months,Never,No,Some months but not every month,Very much,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2947,0,4,Female,Male,1989,Class V (Complete PE),1984,Class I-IV (Incomplete PE),0,No,0,No,No,No,Never,Only one or two months,Only one or two months,Never,No,Some months but not every month,Very much,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2948,5,NA,Male,Female,1985,HSC (complete HSE),1991,SSC (Complete SE),0,Yes,0,No,No,No,Never,Some months but not every month,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Decreased,Decreased,Decreased,migrant
7_617_2948,5,NA,Male,Female,1985,HSC (complete HSE),1991,SSC (Complete SE),0,Yes,0,No,No,No,Never,Some months but not every month,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Decreased,Decreased,Decreased,migrant
7_617_2948,5,NA,Male,Female,1985,HSC (complete HSE),1991,SSC (Complete SE),0,Yes,0,No,No,No,Never,Some months but not every month,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Decreased,Decreased,Decreased,migrant
7_617_2948,5,NA,Male,Female,1985,HSC (complete HSE),1991,SSC (Complete SE),0,Yes,0,No,No,No,Never,Some months but not every month,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Decreased,Decreased,Decreased,migrant
7_617_2949,0,NA,Male,Female,1988,Class V (Complete PE),1994,Class V (Complete PE),0,Yes,0,Yes,No,No,Never,Some months but not every month,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2949,0,NA,Male,Female,1988,Class V (Complete PE),1994,Class V (Complete PE),0,Yes,0,Yes,No,No,Never,Some months but not every month,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2949,0,NA,Male,Female,1988,Class V (Complete PE),1994,Class V (Complete PE),0,Yes,0,Yes,No,No,Never,Some months but not every month,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2950,0,6,Male,Female,1975,No Schooling,1980,Class I-IV (Incomplete PE),0,Yes,0,No,No,No,Some months but not every month,Almost every month,Only one or two months,Never,No,Never,Some what,Some what,Increased,Increased,Increased,Increased,Increased,migrant
7_617_2950,0,6,Male,Female,1975,No Schooling,1980,Class I-IV (Incomplete PE),0,Yes,0,No,No,No,Some months but not every month,Almost every month,Only one or two months,Never,No,Never,Some what,Some what,Increased,Increased,Increased,Increased,Increased,migrant
7_617_2952,0,2,Male,Female,1986,SSC (Complete SE),1989,Class V (Complete PE),0,No,0,No,No,No,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Yes,Never,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2952,0,2,Male,Female,1986,SSC (Complete SE),1989,Class V (Complete PE),0,No,0,No,No,No,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Yes,Never,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2953,0,8,Male,Female,1984,Class VI-IX (Incomplete SE),1988,Class V (Complete PE),0,No,0,No,No,No,Never,Only one or two months,Only one or two months,Never,Yes,Only one or two months,Very much,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
7_617_2953,0,8,Male,Female,1984,Class VI-IX (Incomplete SE),1988,Class V (Complete PE),0,No,0,No,No,No,Never,Only one or two months,Only one or two months,Never,Yes,Only one or two months,Very much,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
7_617_2955,11,NA,Female,NA,1982,Class V (Complete PE),NA,NA,0,Yes,0,No,No,NA,Never,Only one or two months,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Decreased,migrant
7_617_2958,4,NA,Male,Female,1976,Class I-IV (Incomplete PE),1984,No Schooling,0,Yes,0,No,No,No,Never,Some months but not every month,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
7_617_2958,4,NA,Male,Female,1976,Class I-IV (Incomplete PE),1984,No Schooling,0,Yes,0,No,No,No,Never,Some months but not every month,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
8_537_2514,1,NA,Male,NA,1986,Class VI-IX (Incomplete SE),NA,NA,0,No,1,No,No,NA,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
8_537_2545,3,5,Female,Male,1988,Class VI-IX (Incomplete SE),1982,Class VI-IX (Incomplete SE),0,No,0,Yes,Yes,Yes,Only one or two months,Only one or two months,Only one or two months,Only one or two months,No,Only one or two months,Some what,Some what,Increased,Decreased,Increased,Decreased,Increased,migrant
8_537_2545,3,5,Female,Male,1988,Class VI-IX (Incomplete SE),1982,Class VI-IX (Incomplete SE),0,No,0,Yes,Yes,Yes,Only one or two months,Only one or two months,Only one or two months,Only one or two months,No,Only one or two months,Some what,Some what,Increased,Decreased,Increased,Decreased,Increased,migrant
8_537_2546,8,NA,Male,NA,1993,HSC (complete HSE),NA,NA,0,No,2,No,No,NA,Never,Never,Never,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
8_537_2555,10,NA,Male,Female,1977,Class V (Complete PE),1987,Class VI-IX (Incomplete SE),0,Yes,0,No,Yes,NA,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
8_537_2555,10,NA,Male,Female,1977,Class V (Complete PE),1987,Class VI-IX (Incomplete SE),0,Yes,0,No,Yes,NA,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
8_537_2555,10,NA,Male,Female,1977,Class V (Complete PE),1987,Class VI-IX (Incomplete SE),0,Yes,0,No,Yes,NA,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
8_537_2634,14,NA,Male,NA,1988,College (11 and 12 grades),NA,NA,0,Yes,0,No,Yes,NA,Almost every month,Almost every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,No change,No change,Increased,migrant
8_537_2662,2,NA,Male,NA,1989,University level,NA,NA,0,No,0,No,No,NA,Some months but not every month,Almost every month,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
8_85_2558,5,1,Female,Male,1980,Class VI-IX (Incomplete SE),1977,Class I-IV (Incomplete PE),0,No,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
8_85_2558,5,1,Female,Male,1980,Class VI-IX (Incomplete SE),1977,Class I-IV (Incomplete PE),0,No,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2547,4,NA,Male,Female,1968,University level,1978,HSC (complete HSE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2547,4,NA,Male,Female,1968,University level,1978,HSC (complete HSE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2547,4,NA,Male,Female,1968,University level,1978,HSC (complete HSE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2547,4,NA,Male,Female,1968,University level,1978,HSC (complete HSE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2584,6,NA,Male,Female,1979,Class VI-IX (Incomplete SE),1988,Class I-IV (Incomplete PE),0,No,2,No,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Increased,Decreased,Increased,migrant
9_912_2584,6,NA,Male,Female,1979,Class VI-IX (Incomplete SE),1988,Class I-IV (Incomplete PE),0,No,2,No,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Increased,Decreased,Increased,migrant
9_912_2584,6,NA,Male,Female,1979,Class VI-IX (Incomplete SE),1988,Class I-IV (Incomplete PE),0,No,2,No,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Increased,Decreased,Increased,migrant
9_912_2585,4,NA,Male,Female,1979,No Schooling,1987,Class I-IV (Incomplete PE),0,Yes,5,No,No,NA,Never,Only one or two months,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2585,4,NA,Male,Female,1979,No Schooling,1987,Class I-IV (Incomplete PE),0,Yes,5,No,No,NA,Never,Only one or two months,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2586,7,13,Male,Female,1989,Class VI-IX (Incomplete SE),1990,Class V (Complete PE),0,Yes,5,No,No,No,Never,Never,Never,Never,Yes,Never,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2586,7,13,Male,Female,1989,Class VI-IX (Incomplete SE),1990,Class V (Complete PE),0,Yes,5,No,No,No,Never,Never,Never,Never,Yes,Never,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2587,9,NA,Male,NA,1985,University level,NA,NA,0,No,0,No,No,NA,Never,Never,Never,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2587,9,NA,Male,NA,1985,University level,NA,NA,0,No,0,No,No,NA,Never,Never,Never,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2645,0,NA,Male,Female,1977,College (11 and 12 grades),1989,University level,0,Yes,0,No,No,No,Only one or two months,Only one or two months,Almost every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2645,0,NA,Male,Female,1977,College (11 and 12 grades),1989,University level,0,Yes,0,No,No,No,Only one or two months,Only one or two months,Almost every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2645,0,NA,Male,Female,1977,College (11 and 12 grades),1989,University level,0,Yes,0,No,No,No,Only one or two months,Only one or two months,Almost every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2645,0,NA,Male,Female,1977,College (11 and 12 grades),1989,University level,0,Yes,0,No,No,No,Only one or two months,Only one or two months,Almost every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
9_912_2646,0,NA,Male,Female,1978,University level,1986,University level,0,Yes,0,No,No,No,Some months but not every month,Never,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2646,0,NA,Male,Female,1978,University level,1986,University level,0,Yes,0,No,No,No,Some months but not every month,Never,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2646,0,NA,Male,Female,1978,University level,1986,University level,0,Yes,0,No,No,No,Some months but not every month,Never,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2646,0,NA,Male,Female,1978,University level,1986,University level,0,Yes,0,No,No,No,Some months but not every month,Never,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2646,0,NA,Male,Female,1978,University level,1986,University level,0,Yes,0,No,No,No,Some months but not every month,Never,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2646,0,NA,Male,Female,1978,University level,1986,University level,0,Yes,0,No,No,No,Some months but not every month,Never,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2648,10,0,Male,Female,1983,University level,1984,University level,0,No,0,No,No,No,Never,Some months but not every month,Only one or two months,Never,No,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Increased,Decreased,migrant
9_912_2648,10,0,Male,Female,1983,University level,1984,University level,0,No,0,No,No,No,Never,Some months but not every month,Only one or two months,Never,No,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Increased,Decreased,migrant
9_912_2648,10,0,Male,Female,1983,University level,1984,University level,0,No,0,No,No,No,Never,Some months but not every month,Only one or two months,Never,No,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Increased,Decreased,migrant
9_912_2648,10,0,Male,Female,1983,University level,1984,University level,0,No,0,No,No,No,Never,Some months but not every month,Only one or two months,Never,No,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Increased,Decreased,migrant
9_912_2649,1,NA,Male,NA,1983,University level,NA,NA,0,Yes,0,No,No,NA,Never,Never,Never,NA,NA,NA,Not at all,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1973,University level,0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1973,Class V (Complete PE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1979,University level,0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1979,Class V (Complete PE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1973,University level,0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1973,Class V (Complete PE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1979,University level,0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1979,Class V (Complete PE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1973,University level,0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1973,Class V (Complete PE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1979,University level,0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1979,Class V (Complete PE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1973,University level,0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1973,Class V (Complete PE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1979,University level,0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2650,5,3,Male,Female,1950,Class VI-IX (Incomplete SE),1979,Class V (Complete PE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
9_912_2651,4,NA,Male,NA,1980,University level,NA,NA,0,No,0,No,No,NA,Never,Almost every month,Never,NA,NA,NA,Not at all,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2652,4,NA,Male,Female,1975,University level,1980,University level,0,Yes,0,No,No,NA,Almost every month,Some months but not every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2652,4,NA,Male,Female,1975,University level,1980,University level,0,Yes,0,No,No,NA,Almost every month,Some months but not every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2652,4,NA,Male,Female,1975,University level,1980,University level,0,Yes,0,No,No,NA,Almost every month,Some months but not every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2808,2,5,Male,Female,1979,Class I-IV (Incomplete PE),1983,No Schooling,0,Yes,0,No,No,Yes,Almost every month,Never,Some months but not every month,Some months but not every month,No,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2808,2,5,Male,Female,1979,Class I-IV (Incomplete PE),1983,No Schooling,0,Yes,0,No,No,Yes,Almost every month,Never,Some months but not every month,Some months but not every month,No,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
9_912_2809,1,1,Male,Female,1961,University level,1970,University level,0,No,0,No,No,No,Never,Never,Never,Never,No,Never,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
