Tab,Q,SQ,SSQ,SSSQ,Question,Class,Unit,Repetitive,Tab_Name,Question_Text,SPSS_header,Short_Question,Likert_Affect_Direction,Answer_Labels,Answer_Numbers,MAR_Cross_Reference
D2,3,12,3,,D2.3.12.3,Yes/No,,TRUE,Information about household head and spouse with migratory experience to India,"India: Other (material) - Last, Head/Spouse",D2_12Cl,"India: Other (material) - Last, Head/Spouse",,,,
D2,2,4,,,D2.2.4,Integer,,TRUE,Information about household head and spouse with migratory experience to India,"India: Total number trips - 2nd Last, Head/Spouse",D2_4s,"India: Total number trips - 2nd Last, Head/Spouse",,,,
D2,2,6,,,D2.2.6,Text,,TRUE,Information about household head and spouse with migratory experience to India,"India: Place of destination - 2nd Last, Head/Spouse",D2_6s,"India: Place of destination - 2nd Last, Head/Spouse",,,,
D2,2,7,,,D2.2.7,Integer,Year,TRUE,Information about household head and spouse with migratory experience to India,"India: Year of arrival - 2nd Last, Head/Spouse",D2_7s,"India: Year of arrival - 2nd Last, Head/Spouse",,,,
D2,2,8,,,D2.2.8,Quantitative,,TRUE,Information about household head and spouse with migratory experience to India,"India: Duration of stay - 2nd Last, Head/Spouse",D2_8s,"India: Duration of stay - 2nd Last, Head/Spouse",,,,
D2,2,9,,,D2.2.9,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Purpose of trip - 2nd Last, Head/Spouse",D2_9s,"India: Purpose of trip - 2nd Last, Head/Spouse",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D2,2,10,1,,D2.2.10.1,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Documentation: Crossing - 2nd Last, Head/Spouse",D2_10As,"India: Documentation: Crossing - 2nd Last, Head/Spouse",,"c(""Border crossing card"", ""Special passport"", ""International passport"", ""No documents"", ""Other"")",c(1:5),
D2,2,10,2,,D2.2.10.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Documentation: Visa - 2nd Last, Head/Spouse",D2_10Bs,"India: Documentation: Visa - 2nd Last, Head/Spouse",,"c(""Tourist visa"", ""Work visa"", ""Student visa"", ""No visa"", ""other"")",c(1:5),
D2,2,11,,,D2.2.11,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Main livelihood occupation - 2nd Last, Head/Spouse",D2_11s,"India: Main livelihood occupation - 2nd Last, Head/Spouse",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D2,2,12,1,,D2.2.12.1,Quantitative,Taka,TRUE,Information about household head and spouse with migratory experience to India,"India: Wage (taka) - 2nd Last, Head/Spouse",D2_12As,"India: Wage (taka) - 2nd Last, Head/Spouse",,,,
D2,2,12,2,,D2.2.12.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Wage (other wage unit) - 2nd Last, Head/Spouse",D2_12Bs,"India: Wage (other wage unit) - 2nd Last, Head/Spouse",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D2,2,12,3,,D2.2.12.3,Yes/No,,TRUE,Information about household head and spouse with migratory experience to India,"India: Other (material) - 2nd Last, Head/Spouse",D2_12Cs,"India: Other (material) - 2nd Last, Head/Spouse",,,,
D2C,1,4,,,D2C.1.4,Integer,,TRUE,Information about other household members with migratory experience to India,"India: Total number trips - First, Other",D2C_4f,"India: Total number trips - First, Other",,,,
D2C,1,6,,,D2C.1.6,Text,,TRUE,Information about other household members with migratory experience to India,"India: Place of destination - First, Other",D2C_6f,"India: Place of destination - First, Other",,,,
D2C,1,7,,,D2C.1.7,Integer,Year,TRUE,Information about other household members with migratory experience to India,"India: Year of arrival - First, Other",D2C_7f,"India: Year of arrival - First, Other",,,,
D2C,1,8,,,D2C.1.8,Quantitative,,TRUE,Information about other household members with migratory experience to India,"India: Duration of stay - First, Other",D2C_8f,"India: Duration of stay - First, Other",,,,
D2C,1,9,,,D2C.1.9,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Purpose of trip - First, Other",D2C_9f,"India: Purpose of trip - First, Other",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D2C,1,10,1,,D2C.1.10.1,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Documentation: Crossing - First, Other",D2C_10Af,"India: Documentation: Crossing - First, Other",,"c(""Border crossing card"", ""Special passport"", ""International passport"", ""No documents"", ""Other"")",c(1:5),
D2C,1,10,2,,D2C.1.10.2,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Documentation: Visa - First, Other",D2C_10Bf,"India: Documentation: Visa - First, Other",,"c(""Tourist visa"", ""Work visa"", ""Student visa"", ""No visa"", ""other"")",c(1:5),
D2C,1,11,,,D2C.1.11,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Main livelihood occupation - First, Other",D2C_11f,"India: Main livelihood occupation - First, Other",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D2C,1,12,1,,D2C.1.12.1,Quantitative,Taka,TRUE,Information about other household members with migratory experience to India,"India: Wage (taka) - First, Other",D2C_12Af,"India: Wage (taka) - First, Other",,,,
D2C,1,12,2,,D2C.1.12.2,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Wage (other wage unit) - First, Other",D2C_12Bf,"India: Wage (other wage unit) - First, Other",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D2C,1,12,3,,D2C.1.12.3,Yes/No,,TRUE,Information about other household members with migratory experience to India,"India: Other (material) - First, Other",D2C_12Cf,"India: Other (material) - First, Other",,,,
D2C,3,4,,,D2C.3.4,Integer,,TRUE,Information about other household members with migratory experience to India,"India: Total number trips - Last, Other",D2C_4l,"India: Total number trips - Last, Other",,,,
D2C,3,6,,,D2C.3.6,Text,,TRUE,Information about other household members with migratory experience to India,"India: Place of destination - Last, Other",D2C_6l,"India: Place of destination - Last, Other",,,,
D2C,3,7,,,D2C.3.7,Integer,Year,TRUE,Information about other household members with migratory experience to India,"India: Year of arrival - Last, Other",D2C_7l,"India: Year of arrival - Last, Other",,,,
D2C,3,8,,,D2C.3.8,Quantitative,,TRUE,Information about other household members with migratory experience to India,"India: Duration of stay - Last, Other",D2C_8l,"India: Duration of stay - Last, Other",,,,
D2C,3,9,,,D2C.3.9,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Purpose of trip - Last, Other",D2C_9l,"India: Purpose of trip - Last, Other",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D2C,3,10,1,,D2C.3.10.1,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Documentation: Crossing - Last, Other",D2C_10Al,"India: Documentation: Crossing - Last, Other",,"c(""Border crossing card"", ""Special passport"", ""International passport"", ""No documents"", ""Other"")",c(1:5),
D2C,3,10,2,,D2C.3.10.2,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Documentation: Visa - Last, Other",D2C_10Bl,"India: Documentation: Visa - Last, Other",,"c(""Tourist visa"", ""Work visa"", ""Student visa"", ""No visa"", ""other"")",c(1:5),
D2C,3,11,,,D2C.3.11,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Main livelihood occupation - Last, Other",D2C_11l,"India: Main livelihood occupation - Last, Other",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D2C,3,12,1,,D2C.3.12.1,Quantitative,Taka,TRUE,Information about other household members with migratory experience to India,"India: Wage (taka) - Last, Other",D2C_12Al,"India: Wage (taka) - Last, Other",,,,
D2C,3,12,2,,D2C.3.12.2,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Wage (other wage unit) - Last, Other",D2C_12Bl,"India: Wage (other wage unit) - Last, Other",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D2C,3,12,3,,D2C.3.12.3,Yes/No,,TRUE,Information about other household members with migratory experience to India,"India: Other (material) - Last, Other",D2C_12Cl,"India: Other (material) - Last, Other",,,,
D2C,2,4,,,D2C.2.4,Integer,,TRUE,Information about other household members with migratory experience to India,"India: Total number trips - 2nd Last, Other",D2C_4s,"India: Total number trips - 2nd Last, Other",,,,
D2C,2,6,,,D2C.2.6,Text,,TRUE,Information about other household members with migratory experience to India,"India: Place of destination - 2nd Last, Other",D2C_6s,"India: Place of destination - 2nd Last, Other",,,,
D2C,2,7,,,D2C.2.7,Integer,Year,TRUE,Information about other household members with migratory experience to India,"India: Year of arrival - 2nd Last, Other",D2C_7s,"India: Year of arrival - 2nd Last, Other",,,,
D2C,2,8,,,D2C.2.8,Quantitative,,TRUE,Information about other household members with migratory experience to India,"India: Duration of stay - 2nd Last, Other",D2C_8s,"India: Duration of stay - 2nd Last, Other",,,,
D2C,2,9,,,D2C.2.9,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Purpose of trip - 2nd Last, Other",D2C_9s,"India: Purpose of trip - 2nd Last, Other",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D2C,2,10,1,,D2C.2.10.1,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Documentation: Crossing - 2nd Last, Other",D2C_10As,"India: Documentation: Crossing - 2nd Last, Other",,"c(""Border crossing card"", ""Special passport"", ""International passport"", ""No documents"", ""Other"")",c(1:5),
D2C,2,10,2,,D2C.2.10.2,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Documentation: Visa - 2nd Last, Other",D2C_10Bs,"India: Documentation: Visa - 2nd Last, Other",,"c(""Tourist visa"", ""Work visa"", ""Student visa"", ""No visa"", ""other"")",c(1:5),
D2C,2,11,,,D2C.2.11,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Main livelihood occupation - 2nd Last, Other",D2C_11s,"India: Main livelihood occupation - 2nd Last, Other",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D2C,2,12,1,,D2C.2.12.1,Quantitative,Taka,TRUE,Information about other household members with migratory experience to India,"India: Wage (taka) - 2nd Last, Other",D2C_12As,"India: Wage (taka) - 2nd Last, Other",,,,
D2C,2,12,2,,D2C.2.12.2,Categorical ,,TRUE,Information about other household members with migratory experience to India,"India: Wage (other wage unit) - 2nd Last, Other",D2C_12Bs,"India: Wage (other wage unit) - 2nd Last, Other",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D2C,2,12,3,,D2C.2.12.3,Yes/No,,TRUE,Information about other household members with migratory experience to India,"India: Other (material) - 2nd Last, Other",D2C_12Cs,"India: Other (material) - 2nd Last, Other",,,,
D3,1,4,,,D3.1.4,Integer,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Total number trips - First, Head/Spouse",D3_3f,"Other Ctry: Total number trips - First, Head/Spouse",,,,
D3,1,6,,,D3.1.6,Text,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Place of destination - First, Head/Spouse",D3_5f,"Other Ctry: Place of destination - First, Head/Spouse",,,,
D3,1,7,,,D3.1.7,Integer,Year,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Year of arrival - First, Head/Spouse",D3_6f,"Other Ctry: Year of arrival - First, Head/Spouse",,,,
D3,1,8,,,D3.1.8,Quantitative,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Duration of stay - First, Head/Spouse",D3_7f,"Other Ctry: Duration of stay - First, Head/Spouse",,,,
D3,1,9,,,D3.1.9,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Purpose of trip - First, Head/Spouse",D3_8f,"Other Ctry: Purpose of trip - First, Head/Spouse",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D3,1,10,1,,D3.1.10.1,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Documentation: Crossing - First, Head/Spouse",D3_9Bf,"Other Ctry: Documentation: Crossing - First, Head/Spouse",,"c(""Border crossing card"", ""Special passport"", ""International passport"", ""No documents"", ""Other"")",c(1:5),
D3,1,10,2,,D3.1.10.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Documentation: Visa - First, Head/Spouse",D3_9Cf,"Other Ctry: Documentation: Visa - First, Head/Spouse",,"c(""Tourist visa"", ""Work visa"", ""Student visa"", ""No visa"", ""other"")",c(1:5),
D3,1,11,,,D3.1.11,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Main livelihood occupation - First, Head/Spouse",D3_10f,"Other Ctry: Main livelihood occupation - First, Head/Spouse",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D3,1,12,1,,D3.1.12.1,Quantitative,Taka,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Wage (taka) - First, Head/Spouse",D3_11Af,"Other Ctry: Wage (taka) - First, Head/Spouse",,,,
D3,1,12,2,,D3.1.12.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Wage (other wage unit) - First, Head/Spouse",D3_11Bf,"Other Ctry: Wage (other wage unit) - First, Head/Spouse",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D3,1,12,3,,D3.1.12.3,Yes/No,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Other (material) - First, Head/Spouse",D3_11Cf,"Other Ctry: Other (material) - First, Head/Spouse",,,,
D3,3,4,,,D3.3.4,Integer,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Total number trips - Last, Head/Spouse",D3_3l,"Other Ctry: Total number trips - Last, Head/Spouse",,,,
D3,3,6,,,D3.3.6,Text,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Place of destination - Last, Head/Spouse",D3_5l,"Other Ctry: Place of destination - Last, Head/Spouse",,,,
D3,3,7,,,D3.3.7,Integer,Year,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Year of arrival - Last, Head/Spouse",D3_6l,"Other Ctry: Year of arrival - Last, Head/Spouse",,,,
D3,3,8,,,D3.3.8,Quantitative,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Duration of stay - Last, Head/Spouse",D3_7l,"Other Ctry: Duration of stay - Last, Head/Spouse",,,,
D3,3,9,,,D3.3.9,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Purpose of trip - Last, Head/Spouse",D3_8l,"Other Ctry: Purpose of trip - Last, Head/Spouse",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D3,3,10,1,,D3.3.10.1,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Documentation: Crossing - Last, Head/Spouse",D3_9Bl,"Other Ctry: Documentation: Crossing - Last, Head/Spouse",,"c(""Border crossing card"", ""Special passport"", ""International passport"", ""No documents"", ""Other"")",c(1:5),
D3,3,10,2,,D3.3.10.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Documentation: Visa - Last, Head/Spouse",D3_9Cl,"Other Ctry: Documentation: Visa - Last, Head/Spouse",,"c(""Tourist visa"", ""Work visa"", ""Student visa"", ""No visa"", ""other"")",c(1:5),
D3,3,11,,,D3.3.11,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Main livelihood occupation - Last, Head/Spouse",D3_10l,"Other Ctry: Main livelihood occupation - Last, Head/Spouse",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D3,3,12,1,,D3.3.12.1,Quantitative,Taka,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Wage (taka) - Last, Head/Spouse",D3_11Al,"Other Ctry: Wage (taka) - Last, Head/Spouse",,,,
D3,3,12,2,,D3.3.12.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Wage (other wage unit) - Last, Head/Spouse",D3_11Bl,"Other Ctry: Wage (other wage unit) - Last, Head/Spouse",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D3,3,12,3,,D3.3.12.3,Yes/No,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Other (material) - Last, Head/Spouse",D3_11Cl,"Other Ctry: Other (material) - Last, Head/Spouse",,,,
D3,2,4,,,D3.2.4,Integer,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Total number trips - 2nd Last, Head/Spouse",D3_3s,"Other Ctry: Total number trips - 2nd Last, Head/Spouse",,,,
D3,2,6,,,D3.2.6,Text,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Place of destination - 2nd Last, Head/Spouse",D3_5s,"Other Ctry: Place of destination - 2nd Last, Head/Spouse",,,,
D3,2,7,,,D3.2.7,Integer,Year,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Year of arrival - 2nd Last, Head/Spouse",D3_6s,"Other Ctry: Year of arrival - 2nd Last, Head/Spouse",,,,
D3,2,8,,,D3.2.8,Quantitative,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Duration of stay - 2nd Last, Head/Spouse",D3_7s,"Other Ctry: Duration of stay - 2nd Last, Head/Spouse",,,,
D3,2,9,,,D3.2.9,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Purpose of trip - 2nd Last, Head/Spouse",D3_8s,"Other Ctry: Purpose of trip - 2nd Last, Head/Spouse",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D3,2,10,1,,D3.2.10.1,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Documentation: Crossing - 2nd Last, Head/Spouse",D3_9Bs,"Other Ctry: Documentation: Crossing - 2nd Last, Head/Spouse",,"c(""Border crossing card"", ""Special passport"", ""International passport"", ""No documents"", ""Other"")",c(1:5),
D3,2,10,2,,D3.2.10.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Documentation: Visa - 2nd Last, Head/Spouse",D3_9Cs,"Other Ctry: Documentation: Visa - 2nd Last, Head/Spouse",,"c(""Tourist visa"", ""Work visa"", ""Student visa"", ""No visa"", ""other"")",c(1:5),
D3,2,11,,,D3.2.11,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Main livelihood occupation - 2nd Last, Head/Spouse",D3_10s,"Other Ctry: Main livelihood occupation - 2nd Last, Head/Spouse",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D3,2,12,1,,D3.2.12.1,Quantitative,Taka,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Wage (taka) - 2nd Last, Head/Spouse",D3_11As,"Other Ctry: Wage (taka) - 2nd Last, Head/Spouse",,,,
D3,2,12,2,,D3.2.12.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Wage (other wage unit) - 2nd Last, Head/Spouse",D3_11Bs,"Other Ctry: Wage (other wage unit) - 2nd Last, Head/Spouse",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D3,2,12,3,,D3.2.12.3,Yes/No,,TRUE,Information about household head and spouse with migratory experience to other countries,"Other Ctry: Other (material) - 2nd Last, Head/Spouse",D3_11Cs,"Other Ctry: Other (material) - 2nd Last, Head/Spouse",,,,
D3C,1,4,,,D3C.1.4,Integer,,TRUE,Information about other household members with migratory experience to other countries,"Other Ctry: Total number trips - First, Other",D3C_4f,"Other Ctry: Total number trips - First, Other",,,,
D3C,1,6,,,D3C.1.6,Text,,TRUE,Information about other household members with migratory experience to other countries,"Other Ctry: Place of destination - First, Other",D3C_6f,"Other Ctry: Place of destination - First, Other",,,,
D3C,1,7,,,D3C.1.7,Integer,Year,TRUE,Information about other household members with migratory experience to other countries,"Other Ctry: Year of arrival - First, Other",D3C_7f,"Other Ctry: Year of arrival - First, Other",,,,
D3C,1,8,,,D3C.1.8,Quantitative,,TRUE,Information about other household members with migratory experience to other countries,"Other Ctry: Duration of stay - First, Other",D3C_8f,"Other Ctry: Duration of stay - First, Other",,,,
D3C,1,9,,,D3C.1.9,Categorical ,,TRUE,Information about other household members with migratory experience to other countries,"Other Ctry: Purpose of trip - First, Other",D3C_9f,"Other Ctry: Purpose of trip - First, Other",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D3C,1,10,1,,D3C.1.10.1,Categorical ,,TRUE,Information about other household members with migratory experience to other countries,"Other Ctry: Documentation: Crossing - First, Other",D3C_10Af,"Other Ctry: Documentation: Crossing - First, Other",,"c(""Border crossing card"", ""Special passport"", ""International passport"", ""No documents"", ""Other"")",c(1:5),
D3C,1,10,2,,D3C.1.10.2,Categorical ,,TRUE,Information about other household members with migratory experience to other countries,"Other Ctry: Documentation: Visa - First, Other",D3C_10Bf,"Other Ctry: Documentation: Visa - First, Other",,"c(""Tourist visa"", ""Work visa"", ""Student visa"", ""No visa"", ""other"")",c(1:5),
